Issue key,Description,Environment
UAV-9,"If a client registers for notifications, the UIMiddleware shall send notifications for specific events",
UAV-642,"When the VaadinUI is activated, the VaadinUI shall be configured according to stored configuration parameters.",
UAV-643,When loading the map view it shall be positioned at the pre-defined location,
UAV-1306,"As a developer, I want to be able to view the drone's internal state so that I can verify the information passed is correct",
UAV-611,The ActivityLogger shall log all flight plan related events.,
UAV-616,The ActivityLogger shall log all commands sent to and messages received from a CGS .,
UAV-521,"When the ""hover in place"" command is issued, the FlightManager shall halt the UAV in place and maintain its current position.",
UAV-86,The SingleUAVFlightPlanScheduler shall maintain a managed list of pending flight plans for Each UAV.,
UAV-549,"If a route contains a specific {{UAV ID}}, the SingleUAVFlightPlanScheduler shall assign the route to the given UAV.",
UAV-772,Max Waypoint Altitude Security Requirement,
UAV-741,The GCS shall assign a message frequency for all UAVs.,
UAV-759,The MissionPlanner shall execute flight plans for multiple UAVs concurrently.,
UAV-1062,UAV is calibrated using Mission Planner or QGroundControl 3rd party software.,
UAV-656,A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,
UAV-1141,"As an Incident Commander, I want to continuously monitor the location of all active drones in the missions.",
UAV-701,The DronologyRuntimeMonitor shall provide functionality to retrieve monitoring messages and distribute them to clients,
UAV-363,Monitoring and Validation of connecting UAVS,
UAV-766,"The MapComponent shall support different types of map layers (e.g., terrain, satellite)",
UAV-563,"When a group of UAVs are assigned flight patterns as part of a mission, the system shall provide a warning if any paths overlap.",
UAV-141,Multiple drones operational with RTK,
UAV-80,"When a flight plan is executed, the VehicleCore shall send the next waypoint to the UAV after the previous waypoint has been reached.",
UAV-124,When a stationary or moving object is within the proximity of a UAV the ObjectAvoidance system shall issue evasive directives to the UAV,
UAV-142,Object detection prototyping,
UAV-127,When a UAV has an active onboard Obstacle Avoidance then the ObstacleAvoidance system shall not issue directives,
UAV-36,The UAVActivationManager shall ensure that only one instance of each registered drone is active at any time.,
UAV-960,Only pre-registered UAVs shall connect to Dronology,
UAV-1063,"When the flying area includes hilly terrain, the operator inspects all assigned flight routes to ensure that waypoints are above the highest terrain level.",
UAV-1054,"Given a set of candidate routes and a set of available UAVs, allocate the routes to the UAVs in a way that optimizes the likelihood of a successful search.",
UAV-562,"A flight pattern shall document the longitude, latitude, and altitude of waypoints in a flight route as offsets from the starting position of the UAV.",
UAV-670,"When requested, the RouteCreationUI shall send a newly created or modified route to dronology.",
UAV-1137,"As a Drone operator, I want to know if all important safety checks are active.

#Acceptance Criteria 

",
UAV-541,The MissionPlanner shall manage predefined FlightPatterns,
UAV-1102,"Prior to flying in a controlled airspace, the maximum altitude of each UAV is set through its internal geofence.",
UAV-212,"Close ground station when receiving SIGTERM signal, instead of having to force close python. Also, send LOITER command to drone first.",
UAV-1158,As a developer I need to design and prototype a graph-based communication network,
UAV-706,The DronologyRuntimeMonitor shall be able to receive messages from any Dronology component,
UAV-1107,Python Based Ground Control Station V1.0 with all control logic on the ground.,
UAV-1108,Python Based Ground Control Station V1.0 with control logic distributed between ground-based GCS and Processor onboard the UAV.,
UAV-1254,"When the GCS receives a JSON message from Dronology, the message is passed to a control adapter. the control adapter decodes the message and calls a method on a drone backend interface. The backend interface takes care of creating a MAVLink message and sending it to a drone.

If the Drone is controlled by a companion computer, the control adapter is a proxy to a remote control adapter (on the companion computer). The JSON is sent over an IP network to the companion computer. When it gets to the companion computer the same behavior in the above paragraph happens.

When the GCS receives a MAVLink message from a drone the same behavior happens in reverse. ",
UAV-1105,RPIC checks the geofence for  compliance to current flying region and permissions and updates it as needed prior to flight.,
UAV-1124,RPIC checks the geofence to ensure that the maximum altitude is 400 feet above ground level as allowed by FAA regulations.,
UAV-968,RPIC is responsible for assuring that the hand-held controller's throttle is in a neutral position prior to takeoff.,
UAV-958,RPIC takes manual control of UAV when deemed necessary,
UAV-982,"When the RPIC determines that Dronology has lost control of the UAV for more than acceptable loss of communication minutes, then the RPIC shall take control. ",
UAV-978,RTL for multiple UAVs executed one at a time,
UAV-454,If a UAV reaches the boundary of the onboard GeoFence it shall RTL.,
UAV-125,If a UAV takes evasive actions the system will ensure that it will eventually reach its destination,
UAV-120,The RealTimeFlightUI shall display the location and status of active UAVs.,
UAV-107,When the UI splash page is loaded the UI will register itself with dronology.,
UAV-100,"If requested, the SingleUAVFlightPlanScheduler shall unassign the flight plan assigned to a UAV that is awaiting execution.",
UAV-103,"When a UAV's current flight is cancelled, the SingleUAVFlightPlanScheduler shall in turn cancel all scheduled flight plans for that UAV.",
UAV-525,"If a flight plan is active and the ""hover in place"" command is rescinded, the FlightManager shall notify the UAV to continue to the originally designated waypoint.",
UAV-424,"When the ""return to home"" command is issued, the FlightManager shall immediately command the the UAV to return to its original launch location using a unique flight route.",
UAV-672,The RouteCreationUI shall allow the user to create and modify a route.,
UAV-668,"Each route shall include a unique ID, a textual description, and a set of waypoints, all of which are editable in the UI.",
UAV-1047,"Routes are automatically generated, allocated to UAVs, and executed during  search and rescue",
UAV-977,"For area mapping applications, routes are assigned manually.",
UAV-1140,"As a DroneTechnician, I want ad-hoc network deployed on all companion computers to support in-air communication between drones",
UAV-597,The InternalSimulator shall approximate the state of the battery,
UAV-593,The InternalSimulator shall approximate the behavior of a UAV.,
UAV-595,"When given a goto command, the InternalSimulator shall update the location of the UAV at increments of {{SIMULATION STEP SIZE}} meters, moving it towards the target destination until the destination is reached.",
UAV-596,When given a landing command the InternalSimulator shall move the UAV from to the ground altitude corresponding to its current longitude and latitude.,
UAV-594,When given a takeoff command the InternalSimulator shall move the UAV to the takeoff altitude corresponding to its current longitude and latitude.,
UAV-508,"When a flight route requires a customized takeoff altitude that differs from the system's default takeoff altitude, it shall be specified in the flight route.",
UAV-1147,As a developer I want to view video streamed from a drone,
UAV-950,Waypoint commands shall only be issued to a UAV if it has sufficient voltage to reach its destination and return to a safe landing place. ,
UAV-574,The VehicleCore shall support UAVs connected via the GCS ,
UAV-576,The VehicleCore shall support virtual UAVs,
UAV-531,"When a flight plan is activated for a UAV currently on the ground, the FlightSchedulingandExecution shall notify the UAV to takeoff vertically until it reaches the prescribed altitude.",
UAV-1125,The GCS shall monitor each UAV under its control for GPS calibration errors and shall report them to Dronology.,
UAV-937,"When the user wants to generate a route from a mapping, prompt them to select the drones they'd like to use. Then send that information to generateAreaMapping().",
UAV-969,All RPICs are trained to check that the throttle on the hand-held controller is in a neutral position prior to requesting control of a UAV from Dronology.,
UAV-649,"When a route is assigned or removed from a UAV, the RouteAssignmentUI shall notify Dronology.",
UAV-746,The GCS shall report newly connected UAVs to the GCSMiddleware .,
UAV-729,The GCSMiddleware shall forward commands sent from Dronology to a GCS ,
UAV-28,The SingleUAVFlightPlanScheduler shall only execute one flight plan at a time for each UAV.,
UAV-25,The VehicleCore shall assign a unique ID to each activated UAV.,
UAV-725,The GCSMiddleware shall provide means to dynamically set the frequency with which UAV Monitoring and UAV State messages are expected.,
UAV-722,"The GCSMiddleware shall handle state messages, monitoring messages, and mode change messages, received from an GCS .",
UAV-691,The RealTimeFlightUI shall allow users to apply flight operations to one or more selected UAVs.,
UAV-592,"The UAVRegistrationManager shall store UAV meta-data information, such as the UAV's technical characteristics",
UAV-8,"When requested, the VehicleCore shall shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram",
UAV-455,If a UAV has a current waypoint assigned and loses communication with the GCS it shall continue flying towards the waypoint.,
UAV-110,The UIMiddleware shall only assign one control-client at a time for each UAV.,
UAV-967,"When a user utilizes the hand-held controller to request control of a UAV, Dronology shall cede control and the UAV shall hover in place until further commands are received from the hand held controller. ",
UAV-1061,"The UAV passes all mandatory calibration tests prior to flight including compass, accelerometer. (List more)",
UAV-38,The VehicleCore shall associate a {{UAV TYPE}} for each UAV defining its basic attributes.,
UAV-1041,UAVs connect to dronology via a GCS which leverages a well defined handshake protocol with Dronology's Ground-Station middleware.,
UAV-639,The UIMiddleware shall accept and activate a mission plan upon request.,
UAV-112,"If a command is issued by the VaadinUI for an UAV, the VaadinUI shall request control of that UAV.",
UAV-1043,The user shall utilize the UI to map the river banks in order to demarcate a region of the river to be searched.,
UAV-108,The UIMiddleware shall provide an interface for registering UI clients.,
UAV-630,The UIMiddleware accepts commands from UIs and forwards to Dronology,
UAV-628,The UIMiddleware shall provide a list of all existing routes,
UAV-626,The UIMiddleware shall provide a list of all active UAVs,
UAV-634,The UIMiddleware shall enable the creation and modification of flight routes,
UAV-637,The UIMiddleware shall enable an existing route to be assigned to an active UAV.,
UAV-1046,"A trained river rescuer with basic training in the area mapping feature will intuitively be able to retrieve and modify previously mapped regions of the river, map new regions, and dispatch UAVs to search the region.",
UAV-1134,User issues RTL command using Dronology UI,
UAV-975,"After the user cedes control of the UAV from Dronology, the user can issue a RTL command using the hand-held GCS.",
UAV-503,The FlightRouteManager shall ensure that all flight routes represent a {{VALID FLIGHT ROUTE}}.,
UAV-666,The RouteCreationUI shall only accept valid altitude and speed values for waypoint.,
UAV-1066,All waypoint directives issued by Dronology to a UAV will represent valid coordinates that will not cause the UAV to fly into the terrain.,
UAV-77,"Each waypoint shall be specified using coordinates that include longitude, latitude, and altitude.",
UAV-1032,Dronology provides features to allow a human operator to monitor active flights.,
UAV-1126,"When the RPIC determines that Dronology has lost control of the UAV for more than acceptable loss of communication minutes, then the RPIC shall take control. ",
UAV-1123,When a route is run in the simulator and MINIMUM SEPARATION DISTANCE is violated an error shall be reported in the simulator log. ,
UAV-1076,When two UAVs violate the MINIMUM SEPARATION DISTANCE they will both stop and hover in place.,
