Issue key,Issue Type,Assigned to,Priority,Status,Created,Desc,Points
UAV-1353,Design,Unassigned,HIGH,BACKLOG,24/12/2019,A DroneResponse user shall mark a search area by drawing a polygon on the map.,1
UAV-1325,Design,Smita,MEDIUM,IN PROGRESS,24/11/2019,When requested by the DroneResponse operator  retrieve the flight route of each drone and display it on the map.,2
UAV-1300,Design,Archie,LOW,COMPLETE,2/12/2019,Layout the DroneResponse UI using the Nebular framework,3
UAV-1289,Design,Smita,HIGH,COMPLETE,26/11/2019,Display video stream of all UAVs as a thumbnail view located next to each UAV in the display panel.,5
UAV-1233,Design,Alberto,MEDIUM,COMPLETE,20/12/2019,The video capabilities of each UAV shall be displayed clearly in the UI,2
UAV-1231,Design,Unassigned,MEDIUM,SCHEDULED,3/12/2019,Add Angular services to fetch data Dronology API ,1
UAV-1195,Hazard,Unassigned,LOW,BACKLOG,23/11/2019,The drone commander loses track of drones in the air during an incident thereby failing to comply with FAA regulations and potentially causing an accident due to an unattended drone.,4
UAV-1194,Design,Smita,HIGH,IN PROGRESS,12/12/2019,When a drone moves on the map it shall leave a trail representing the coordinates of the most recent [tail_size] seconds of flight.,5
UAV-1192,Design,Archie,MEDIUM,ICE BOX,20/12/2019,DroneResponse establishes a connection to Dronology and receives status updates for each UAV.,3
UAV-1162,Design,Smita,MEDIUM,COMPLETE,12/11/2019,Dronology should use the API layer to expose monitoring data to DroneResponse and any 3rd party applications,3
UAV-1143,Hazard,Smita,HIGH,ICE BOX,7/12/2019,UI fails to provide situational awareness,
UAV-1142,Hazard,Unassigned,LOW,BACKLOG,10/11/2019,DroneResponse app crashes due to hardware failure,
